date_value,area_name,disease,metric_value
----------,---------,-------,------------
2023-01-01,East Midlands,COVID-19,8.0600
2023-01-01,East Midlands,influenza,13.1200
2023-01-01,East Midlands,RSV,4.0900
2023-01-01,East of England,COVID-19,6.8700
2023-01-01,East of England,influenza,12.6900
2023-01-01,East of England,RSV,5.0100
2023-01-01,England,COVID-19,7.3100
2023-01-01,England,influenza,14.4300
2023-01-01,England,RSV,4.7500
2023-01-01,London,COVID-19,8.6100
2023-01-01,London,influenza,16.3300
2023-01-01,London,RSV,4.3800
2023-01-01,North East,COVID-19,4.8800
2023-01-01,North East,influenza,15.4900
2023-01-01,North East,RSV,4.5300
2023-01-01,North West,COVID-19,5.8100
2023-01-01,North West,influenza,15.9300
2023-01-01,North West,RSV,4.9300
2023-01-01,South East,COVID-19,8.5300
2023-01-01,South East,influenza,14.2000
2023-01-01,South East,RSV,4.4200
2023-01-01,South West,COVID-19,8.6200
2023-01-01,South West,influenza,15.2600
2023-01-01,South West,RSV,4.1600
2023-01-01,West Midlands,COVID-19,5.9600
2023-01-01,West Midlands,influenza,16.7100
2023-01-01,West Midlands,RSV,5.0300
2023-01-01,Yorkshire and The Humber,COVID-19,7.4100
2023-01-01,Yorkshire and The Humber,influenza,11.9100
2023-01-01,Yorkshire and The Humber,RSV,4.8100
2023-01-08,East Midlands,COVID-19,4.8800
2023-01-08,East Midlands,influenza,11.6900
2023-01-08,East Midlands,RSV,4.4700
2023-01-08,East of England,COVID-19,6.2700
2023-01-08,East of England,influenza,14.4800
2023-01-08,East of England,RSV,4.2000
2023-01-08,England,COVID-19,5.9800
2023-01-08,England,influenza,13.1700
2023-01-08,England,RSV,4.3400
2023-01-08,London,COVID-19,7.6100
2023-01-08,London,influenza,11.4200
2023-01-08,London,RSV,5.3400
2023-01-08,North East,COVID-19,6.2300
2023-01-08,North East,influenza,12.1400
2023-01-08,North East,RSV,3.9000
2023-01-08,North West,COVID-19,7.4800
2023-01-08,North West,influenza,16.2900
2023-01-08,North West,RSV,4.2400
2023-01-08,South East,COVID-19,7.0100
2023-01-08,South East,influenza,13.5700
2023-01-08,South East,RSV,5.0600
2023-01-08,South West,COVID-19,6.7300
2023-01-08,South West,influenza,15.8700
2023-01-08,South West,RSV,5.2500
2023-01-08,West Midlands,COVID-19,7.2000
2023-01-08,West Midlands,influenza,11.4200
2023-01-08,West Midlands,RSV,4.6000
2023-01-08,Yorkshire and The Humber,COVID-19,8.0800
2023-01-08,Yorkshire and The Humber,influenza,12.7500
2023-01-08,Yorkshire and The Humber,RSV,5.1600
2023-01-15,East Midlands,COVID-19,7.8900
2023-01-15,East Midlands,influenza,11.8400
2023-01-15,East Midlands,RSV,3.6700
2023-01-15,East of England,COVID-19,7.1700
2023-01-15,East of England,influenza,12.7300
2023-01-15,East of England,RSV,3.1000
2023-01-15,England,COVID-19,6.5900
2023-01-15,England,influenza,12.9800
2023-01-15,England,RSV,4.3800
2023-01-15,London,COVID-19,7.4100
2023-01-15,London,influenza,11.2500
2023-01-15,London,RSV,4.9200
2023-01-15,North East,COVID-19,6.4100
2023-01-15,North East,influenza,11.3900
2023-01-15,North East,RSV,4.4800
