date,epiweek,year,month,geography,geography_code,geography_type,disease,metric,positivity_percent,positive_tests,total_tests,age,sex
2023-01-01,52,2023,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,14.43,7212,50000,all,all
2023-01-08,1,2023,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,13.17,6585,50000,all,all
2023-01-15,2,2023,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,12.98,6488,50000,all,all
2023-01-22,3,2023,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,12.79,6394,50000,all,all
2023-01-29,4,2023,1,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,10.44,5221,50000,all,all
2023-02-05,5,2023,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,9.46,4732,50000,all,all
2023-02-12,6,2023,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,9.91,4956,50000,all,all
2023-02-19,7,2023,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,8.25,4126,50000,all,all
2023-02-26,8,2023,2,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,6.26,3128,50000,all,all
2023-03-05,9,2023,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,6.08,3040,50000,all,all
2023-03-12,10,2023,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,4.32,2161,50000,all,all
2023-03-19,11,2023,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,3.42,1708,50000,all,all
2023-03-26,12,2023,3,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,3.14,1569,50000,all,all
2023-04-02,13,2023,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.65,322,50000,all,all
2023-04-09,14,2023,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.11,55,50000,all,all
2023-04-16,15,2023,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.45,225,50000,all,all
2023-04-23,16,2023,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2023-04-30,17,2023,4,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.29,142,50000,all,all
2023-05-07,18,2023,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2023-05-14,19,2023,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2023-05-21,20,2023,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.78,389,50000,all,all
2023-05-28,21,2023,5,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2023-06-04,22,2023,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2023-06-11,23,2023,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.1,50,50000,all,all
2023-06-18,24,2023,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,0.28,138,50000,all,all
2023-06-25,25,2023,6,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,1.36,678,50000,all,all
2023-07-02,26,2023,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,1.0,500,50000,all,all
2023-07-09,27,2023,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,2.96,1481,50000,all,all
2023-07-16,28,2023,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,3.0,1500,50000,all,all
2023-07-23,29,2023,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,4.13,2065,50000,all,all
2023-07-30,30,2023,7,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,4.82,2409,50000,all,all
2023-08-06,31,2023,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,7.76,3879,50000,all,all
2023-08-13,32,2023,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,7.27,3633,50000,all,all
2023-08-20,33,2023,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,7.44,3721,50000,all,all
2023-08-27,34,2023,8,England,E92000001,Nation,influenza,influenza_testing_positivityByWeek,9.95,4977,50000,all,all
